"NAME" "MANUF" "TYPE" "CALORIES" "PROTEIN" "FAT" "SODIUM" "FIBER" "CARBO" "SUGARS" "POTASS" "VITAMINS" "SHELF" "WEIGHT" "CUPS" "RATING"
"1" "100%_Bran" "N" "C" 0.181818181818182 0.6 0.2 0.40625 0.714285714285714 0.25 0.4375 0.848942598187311 0.25 1 0.5 0.064 0.665592786323915
"2" "100%_Natural_Bran" "Q" "C" 0.636363636363636 0.4 1 0.046875 0.142857142857143 0.375 0.5625 0.410876132930514 0 1 0.5 0.6 0.21068455959718
"3" "All-Bran" "K" "C" 0.181818181818182 0.6 0.2 0.8125 0.642857142857143 0.333333333333333 0.375 0.969788519637462 0.25 1 0.5 0.064 0.546940612680376
"4" "All-Bran_with_Extra_Fiber" "K" "C" 0 0.6 0 0.4375 1 0.375 0.0625 1 0.25 1 0.5 0.2 1
"5" "Almond_Delight" "R" "C" 0.545454545454545 0.2 0.4 0.625 0.0714285714285714 0.625 0.5625 0 0.25 1 0.5 0.4 0.215986609193741
"6" "Apple_Cinnamon_Cheerios" "G" "C" 0.545454545454545 0.2 0.4 0.5625 0.107142857142857 0.479166666666667 0.6875 0.214501510574018 0.25 0 0.5 0.4 0.151551383195866
"7" "Apple_Jacks" "K" "C" 0.545454545454545 0.2 0 0.390625 0.0714285714285714 0.5 0.9375 0.0936555891238671 0.25 0.5 0.5 0.6 0.199984547077035
"8" "Basic_4" "G" "C" 0.727272727272727 0.4 0.4 0.65625 0.142857142857143 0.791666666666667 0.5625 0.305135951661631 0.25 1 0.83 0.4 0.251059920241929
"9" "Bran_Chex" "R" "C" 0.363636363636364 0.2 0.2 0.625 0.285714285714286 0.666666666666667 0.4375 0.380664652567976 0.25 0 0.5 0.336 0.410739564707337
"10" "Bran_Flakes" "P" "C" 0.363636363636364 0.4 0 0.65625 0.357142857142857 0.583333333333333 0.375 0.577039274924471 0.25 1 0.5 0.336 0.466164436096976
"11" "Cap'n'Crunch" "Q" "C" 0.636363636363636 0 0.4 0.6875 0 0.541666666666667 0.8125 0.108761329305136 0.25 0.5 0.5 0.4 0
"12" "Cheerios" "G" "C" 0.545454545454545 1 0.4 0.90625 0.142857142857143 0.75 0.125 0.3202416918429 0.25 0 0.5 0.8 0.43247761913332
"13" "Cinnamon_Toast_Crunch" "G" "C" 0.636363636363636 0 0.6 0.65625 0 0.583333333333333 0.625 0.138972809667674 0.25 0.5 0.5 0.4 0.023535203462142
"14" "Clusters" "G" "C" 0.545454545454545 0.4 0.4 0.4375 0.142857142857143 0.583333333333333 0.5 0.3202416918429 0.25 1 0.5 0.2 0.295489664232118
"15" "Cocoa_Puffs" "G" "C" 0.545454545454545 0 0.2 0.5625 0 0.541666666666667 0.875 0.169184290030211 0.25 0.5 0.5 0.6 0.0620336657231687
"16" "Corn_Chex" "R" "C" 0.545454545454545 0.2 0 0.875 0 0.958333333333333 0.25 0.0785498489425982 0.25 0 0.5 0.6 0.309298579640859
"17" "Corn_Flakes" "K" "C" 0.454545454545455 0.2 0 0.90625 0.0714285714285714 0.916666666666667 0.1875 0.108761329305136 0.25 0 0.5 0.6 0.367693830068943
"18" "Corn_Pops" "K" "C" 0.545454545454545 0 0 0.28125 0.0714285714285714 0.583333333333333 0.8125 0.0634441087613293 0.25 0.5 0.5 0.6 0.234462817501099
