PRECINCT,HOMICIDE,RAPE,ROBBERY,ASSAULT,VIOLENT_CRIMES_TOTAL,BURGLARY,LARCENY_THEFT,VEHICLE_THEFT,PROPERTY_CRIMES_TOTAL,MAJOR_CRIMES_TOTAL
EAST,0,1,19,33,53,86,322,68,476,509
EAST,0,0,0,1,1,13,34,13,60,61
EAST,0,0,1,4,5,13,36,9,58,62
EAST,0,0,1,4,5,14,35,5,54,58
EAST,0,0,5,3,8,9,27,13,49,52
EAST,0,0,3,8,11,4,75,6,85,93
EAST,0,0,4,4,8,2,26,3,31,35
EAST,0,1,0,5,6,5,23,6,34,39
EAST,0,0,4,2,6,15,39,8,62,64
EAST,0,0,1,2,3,11,27,5,43,45
EAST,0,2,7,22,31,60,226,52,338,369
EAST,0,1,0,1,2,11,17,10,38,40
EAST,0,0,0,2,2,1,38,10,49,51
EAST,0,0,0,0,0,6,26,6,38,38
EAST,0,0,1,5,6,13,19,4,36,42
EAST,0,0,2,4,6,10,56,4,70,76
EAST,0,0,2,1,3,9,21,4,34,37
EAST,0,0,1,2,3,2,19,3,24,27
EAST,0,0,1,2,3,5,14,7,26,29
EAST,0,1,0,5,6,3,16,4,23,29
EAST,0,1,15,28,44,80,401,48,529,573
EAST,0,1,0,1,2,18,37,14,69,71
EAST,0,0,1,4,5,5,71,3,79,84
EAST,0,0,0,1,1,10,29,6,45,46
EAST,0,0,3,3,6,16,42,9,67,73
EAST,0,0,4,2,6,10,117,3,130,136
EAST,0,0,1,9,10,6,17,1,24,34
EAST,0,0,4,5,9,5,30,4,39,48
EAST,0,0,2,3,5,6,27,4,37,42
EAST,0,0,0,0,0,4,31,4,39,39
EAST,3,0,17,20,40,74,320,61,455,495
EAST,0,0,0,3,3,18,27,13,58,61
EAST,0,0,1,2,3,7,46,3,56,59
EAST,0,0,2,1,3,13,35,8,56,59
EAST,0,0,3,0,3,11,38,11,60,63
EAST,0,0,4,7,11,2,67,7,76,87
EAST,0,0,4,4,8,5,14,4,23,31
EAST,1,0,0,0,1,6,26,4,36,37
EAST,0,0,2,2,4,6,28,8,42,46
EAST,2,0,1,1,4,6,39,3,48,52
EAST,0,1,25,27,53,102,403,88,593,646
EAST,0,0,0,1,1,23,52,25,100,101
EAST,0,0,2,2,4,11,47,11,69,73
EAST,0,1,1,0,2,15,30,3,48,50
EAST,0,0,5,8,13,11,49,10,70,83
EAST,0,0,7,9,16,6,84,10,100,116
EAST,0,0,0,3,3,5,32,9,46,49
EAST,0,0,1,1,2,16,29,9,54,56
EAST,0,0,6,0,6,3,50,5,58,64
EAST,0,0,3,3,6,12,30,6,48,54
EAST,3,1,28,31,63,68,405,67,540,603
EAST,0,0,0,4,4,18,54,13,85,89
EAST,0,0,5,10,15,8,46,7,61,76
EAST,0,0,1,0,1,7,38,8,53,54
EAST,0,0,5,3,8,10,38,5,53,61
EAST,0,0,2,4,6,5,84,5,94,100
EAST,1,0,3,2,6,4,22,9,35,41
EAST,0,1,3,2,6,5,27,11,43,49
EAST,0,0,6,5,11,5,72,3,80,91
EAST,2,0,3,1,6,6,24,6,36,42
EAST,0,1,35,38,74,71,381,47,499,573
EAST,0,0,0,2,2,13,44,11,68,70
EAST,0,0,12,5,17,10,43,7,60,77
EAST,0,0,2,2,4,10,45,7,62,66
EAST,0,0,5,8,13,11,29,6,46,59
EAST,0,0,9,6,15,3,86,3,92,107
EAST,0,0,2,4,6,3,22,5,30,36
EAST,0,0,1,5,6,2,26,3,31,37
EAST,0,1,3,2,6,6,58,3,67,73
EAST,0,0,1,4,5,13,28,2,43,48
EAST,0,0,28,43,71,94,431,53,578,649
EAST,0,0,0,0,0,14,49,13,76,76
EAST,0,0,8,6,14,4,61,6,71,85
EAST,0,0,1,0,1,18,45,7,70,71
EAST,0,0,2,3,5,16,25,11,52,57
EAST,0,0,8,17,25,8,78,4,90,115
EAST,0,0,1,4,5,9,25,1,35,40
EAST,0,0,0,5,5,7,29,4,40,45
EAST,0,0,5,3,8,6,88,5,99,107
EAST,0,0,3,5,8,12,31,2,45,53
EAST,0,3,17,50,70,76,428,71,575,645
EAST,0,0,1,1,2,9,45,15,69,71
EAST,0,0,6,9,15,4,46,8,58,73
EAST,0,0,0,2,2,10,42,4,56,58
EAST,0,0,0,7,7,8,46,7,61,68
EAST,0,1,5,14,20,6,99,10,115,135
EAST,0,0,1,5,6,5,40,9,54,60
EAST,0,1,2,5,8,7,29,5,41,49
EAST,0,1,2,4,7,10,40,7,57,64
EAST,0,0,0,3,3,17,41,6,64,67
EAST,0,2,26,38,66,82,375,54,511,577
EAST,0,0,2,2,4,4,39,8,51,55
EAST,0,0,4,7,11,5,39,6,50,61
EAST,0,0,3,3,6,16,32,7,55,61
EAST,0,1,2,4,7,16,26,5,47,54
EAST,0,1,3,7,11,5,93,6,104,115
EAST,0,0,4,5,9,2,24,6,32,41
EAST,0,0,3,2,5,5,34,5,44,49
EAST,0,0,3,6,9,11,53,9,73,82
EAST,0,0,2,2,4,18,35,2,55,59
EAST,0,1,26,30,57,88,446,27,561,618
EAST,0,0,0,6,6,14,43,4,61,67
EAST,0,0,5,4,9,9,31,1,41,50
EAST,0,0,0,0,0,18,66,1,85,85
EAST,0,0,0,3,3,11,27,5,43,46
EAST,0,0,4,6,10,4,104,3,111,121
EAST,0,1,9,2,12,4,22,5,31,43
EAST,0,0,4,3,7,8,36,3,47,54
EAST,0,0,3,5,8,13,63,4,80,88
EAST,0,0,1,1,2,7,54,1,62,64
NORTH,0,0,17,36,53,232,627,151,1010,1046
NORTH,0,0,2,0,2,17,30,8,55,55
NORTH,0,0,2,1,3,7,35,4,46,47
NORTH,0,0,1,1,2,21,49,11,81,82
NORTH,0,0,0,3,3,8,51,8,67,70
NORTH,0,0,1,5,6,14,53,8,75,80
NORTH,0,0,0,2,2,31,38,16,85,87
NORTH,0,0,4,2,6,13,38,8,59,61
NORTH,0,0,1,3,4,9,34,11,54,57
NORTH,0,0,0,2,2,17,27,8,52,54
NORTH,0,0,1,3,4,18,39,6,63,66
NORTH,0,0,2,6,8,16,21,9,46,52
NORTH,0,0,0,3,3,12,64,21,97,100
NORTH,0,0,1,1,2,18,31,14,63,64
NORTH,0,0,1,3,4,18,67,11,96,99
NORTH,0,0,1,1,2,13,50,8,71,72
NORTH,1,3,17,29,50,206,432,149,787,837
NORTH,0,0,1,3,4,10,14,10,34,38
NORTH,0,0,0,3,3,12,24,4,40,43
NORTH,1,0,0,0,1,13,38,15,66,67
NORTH,0,0,0,0,0,13,43,7,63,63
NORTH,0,2,2,2,6,15,36,12,63,69
NORTH,0,0,0,3,3,16,27,15,58,61
NORTH,0,0,1,0,1,13,20,7,40,41
NORTH,0,0,1,2,3,21,16,12,49,52
NORTH,0,0,0,2,2,19,23,8,50,52
NORTH,0,1,3,2,6,12,30,9,51,57
NORTH,0,0,2,3,5,14,14,8,36,41
NORTH,0,0,2,0,2,6,49,17,72,74
NORTH,0,0,0,1,1,11,15,7,33,34
NORTH,0,0,2,5,7,12,50,10,72,79
NORTH,0,0,3,3,6,19,33,8,60,66
NORTH,0,3,24,33,60,213,655,190,1058,1118
NORTH,0,0,2,0,2,10,22,6,38,40
NORTH,0,0,0,1,1,13,36,12,61,62
NORTH,0,0,0,3,3,12,61,23,96,99
NORTH,0,0,2,0,2,9,44,13,66,68
NORTH,0,0,0,2,2,8,59,21,88,90
NORTH,0,1,4,4,9,21,45,12,78,87
NORTH,0,0,2,1,3,9,29,9,47,50
NORTH,0,1,1,2,4,27,38,7,72,76
NORTH,0,1,0,1,2,21,33,12,66,68
NORTH,0,0,3,2,5,14,42,15,71,76
NORTH,0,0,3,6,9,4,40,15,59,68
NORTH,0,0,1,4,5,5,57,15,77,82
NORTH,0,0,1,2,3,24,41,11,76,79
NORTH,0,0,0,2,2,17,75,13,105,107
NORTH,0,0,5,3,8,19,33,6,58,66
NORTH,0,1,29,51,81,227,530,229,986,1067
NORTH,0,0,2,4,6,17,25,7,49,55
NORTH,0,0,1,2,3,12,45,18,75,78
NORTH,0,0,0,0,0,7,38,24,69,69
NORTH,0,0,3,1,4,16,35,13,64,68
NORTH,0,0,1,2,3,25,42,20,87,90
NORTH,0,0,3,2,5,19,35,18,72,77
NORTH,0,0,3,1,4,9,17,10,36,40
NORTH,0,0,2,6,8,13,23,11,47,55
NORTH,0,0,0,3,3,20,17,4,41,44
NORTH,0,0,0,7,7,18,38,12,68,75
NORTH,0,0,1,5,6,6,28,27,61,67
NORTH,0,0,8,7,15,10,54,36,100,115
NORTH,0,0,0,3,3,24,24,10,58,61
NORTH,0,1,4,1,6,20,76,11,107,113
NORTH,0,0,1,7,8,11,33,8,52,60
NORTH,0,6,21,53,80,260,721,258,1239,1319
NORTH,0,0,0,3,3,17,38,11,66,69
NORTH,0,0,0,3,3,29,54,12,95,98
NORTH,0,0,2,1,3,16,62,21,99,102
NORTH,0,0,1,6,7,17,68,28,113,120
NORTH,0,1,1,5,7,19,56,19,94,101
NORTH,0,0,2,3,5,27,47,16,90,95
NORTH,0,1,2,4,7,12,34,10,56,63
NORTH,0,0,1,2,3,21,34,9,64,67
NORTH,0,1,0,1,2,28,28,10,66,68
NORTH,0,3,3,8,14,13,63,18,94,108
NORTH,0,0,1,4,5,10,10,21,41,46
NORTH,0,0,3,3,6,8,48,24,80,86
NORTH,0,0,1,1,2,19,34,27,80,82
NORTH,0,0,2,5,7,8,100,19,127,134
NORTH,0,0,2,4,6,16,45,13,74,80
NORTH,0,1,34,50,85,257,735,325,1317,1402
NORTH,0,1,0,3,4,16,45,18,79,83
NORTH,0,0,4,8,12,17,54,11,82,94
NORTH,0,0,2,4,6,12,69,35,116,122
NORTH,0,0,3,1,4,12,60,36,108,112
NORTH,0,0,3,3,6,11,60,32,103,109
NORTH,0,0,0,2,2,28,57,36,121,123
NORTH,0,0,3,5,8,36,33,9,78,86
NORTH,0,0,3,4,7,24,28,12,64,71
NORTH,0,0,1,1,2,20,29,12,61,63
NORTH,0,0,3,6,9,24,59,20,103,112
NORTH,0,0,0,2,2,10,32,26,68,70
NORTH,0,0,5,1,6,10,61,34,105,111
NORTH,0,0,0,3,3,20,40,19,79,82
NORTH,0,0,5,3,8,12,74,15,101,109
NORTH,0,0,2,4,6,5,34,10,49,55
NORTH,0,5,20,52,77,257,749,183,1189,1266
NORTH,0,0,2,3,5,15,44,11,70,75
NORTH,0,0,1,2,3,32,77,15,124,127
NORTH,0,0,1,1,2,18,48,15,81,83
NORTH,0,1,0,3,4,14,56,20,90,94
NORTH,0,0,0,3,3,19,44,6,69,72
NORTH,0,2,0,1,3,23,64,9,96,99
NORTH,0,0,0,8,8,13,39,8,60,68
NORTH,0,0,0,2,2,17,31,12,60,62
NORTH,0,0,0,2,2,25,45,5,75,77
NORTH,0,2,4,8,14,9,66,11,86,100
NORTH,0,0,1,8,9,9,27,6,42,51
NORTH,0,0,5,4,9,14,68,23,105,114
NORTH,0,0,4,0,4,15,44,22,81,85
NORTH,0,0,1,4,5,16,67,11,94,99
NORTH,0,0,1,3,4,18,29,9,56,60
NORTH,0,2,37,62,101,221,680,182,1083,1184
NORTH,0,0,2,2,4,19,49,4,72,76
NORTH,0,0,2,2,4,19,41,10,70,74
NORTH,0,0,1,5,6,16,49,16,81,87
NORTH,0,0,8,4,12,7,50,19,76,88
NORTH,0,0,2,7,9,15,47,16,78,87
NORTH,0,0,2,0,2,24,52,10,86,88
NORTH,0,0,3,5,8,10,24,5,39,47
NORTH,0,0,0,3,3,15,31,17,63,66
NORTH,0,0,2,3,5,19,46,14,79,84
NORTH,0,1,5,7,13,12,53,7,72,85
NORTH,0,0,1,8,9,10,35,9,54,63
NORTH,0,0,5,3,8,14,68,18,100,108
NORTH,0,0,0,6,6,16,39,20,75,81
NORTH,0,1,2,4,7,14,69,9,92,99
NORTH,0,0,2,3,5,11,27,8,46,51
NORTH,0,1,30,44,75,245,780,265,1290,1365
NORTH,0,0,2,4,6,14,39,12,65,71
NORTH,0,0,1,1,2,27,57,25,109,111
NORTH,0,0,3,5,8,17,67,42,126,134
NORTH,0,0,0,5,5,20,61,25,106,111
NORTH,0,0,3,0,3,27,77,20,124,127
NORTH,0,0,1,1,2,13,38,17,68,70
NORTH,0,0,1,6,7,17,47,10,74,81
NORTH,0,0,2,3,5,20,39,15,74,79
NORTH,0,0,3,1,4,20,30,10,60,64
NORTH,0,0,1,4,5,10,66,13,89,94
NORTH,0,1,1,2,4,10,36,17,63,67
NORTH,0,0,3,0,3,15,69,24,108,111
NORTH,0,0,2,2,4,16,43,13,72,76
NORTH,0,0,6,6,12,11,71,14,96,108
NORTH,0,0,1,4,5,8,40,8,56,61
NORTH,0,4,36,41,81,241,639,154,1034,1115
NORTH,0,0,3,2,5,17,42,4,63,68
NORTH,0,1,5,3,9,15,47,11,73,82
NORTH,0,1,3,1,5,19,43,18,80,85
NORTH,0,0,6,2,8,17,35,19,71,79
NORTH,0,0,0,2,2,7,48,12,67,69
NORTH,0,1,3,4,8,13,28,11,52,60
NORTH,0,0,1,8,9,16,28,4,48,57
NORTH,0,0,1,2,3,14,34,11,59,62
NORTH,0,0,0,2,2,31,32,8,71,73
NORTH,0,0,5,5,10,24,54,12,90,100
NORTH,0,0,0,0,0,11,32,9,52,52
NORTH,0,0,4,2,6,16,67,13,96,102
NORTH,0,0,1,0,1,17,37,10,64,65
NORTH,0,0,3,2,5,17,86,8,111,116
NORTH,0,1,1,6,8,7,26,4,37,45
NORTH,0,3,36,37,76,226,570,111,907,983
NORTH,0,0,2,2,4,16,42,8,66,70
NORTH,0,1,3,5,9,20,34,6,60,69
NORTH,0,1,0,1,2,24,45,4,73,75
NORTH,0,0,0,1,1,15,26,13,54,55
NORTH,0,0,2,1,3,7,43,7,57,60
NORTH,0,0,0,1,1,20,35,4,59,60
NORTH,0,0,0,4,4,12,34,7,53,57
NORTH,0,0,3,4,7,12,28,6,46,53
NORTH,0,0,3,3,6,34,47,3,84,90
NORTH,0,0,3,3,6,17,45,8,70,76
NORTH,0,0,1,3,4,4,23,9,36,40
NORTH,0,0,8,0,8,8,55,12,75,83
NORTH,0,0,4,3,7,16,25,12,53,60
NORTH,0,0,4,3,7,13,66,4,83,90
NORTH,0,1,3,3,7,8,22,8,38,45
SOUTH,0,0,40,44,84,166,239,103,508,552
SOUTH,0,0,4,2,6,10,23,23,56,58
SOUTH,0,0,3,4,7,9,48,5,62,66
SOUTH,0,0,2,9,11,18,22,6,46,55
SOUTH,0,0,4,6,10,41,29,3,73,79
SOUTH,0,0,4,3,7,28,26,13,67,70
SOUTH,0,0,7,3,10,19,23,15,57,60
SOUTH,0,0,4,5,9,16,15,14,45,50
SOUTH,0,0,10,8,18,16,33,8,57,65
SOUTH,0,0,2,4,6,9,20,16,45,49
SOUTH,0,1,24,35,60,94,224,77,395,455
SOUTH,0,0,1,3,4,6,26,9,41,45
SOUTH,0,0,1,0,1,8,29,3,40,41
SOUTH,0,0,1,5,6,6,13,7,26,32
SOUTH,0,0,0,6,6,18,36,11,65,71
SOUTH,0,0,0,5,5,15,19,10,44,49
SOUTH,0,0,0,0,0,8,31,9,48,48
SOUTH,0,0,5,5,10,17,23,9,49,59
SOUTH,0,1,8,7,16,8,19,7,34,50
SOUTH,0,0,8,4,12,8,28,12,48,60
SOUTH,0,2,40,36,78,120,267,59,446,524
SOUTH,0,0,1,2,3,11,17,4,32,35
SOUTH,0,2,3,1,6,2,30,4,36,42
SOUTH,0,0,0,1,1,12,34,12,58,59
SOUTH,0,0,7,0,7,14,60,4,78,85
SOUTH,0,0,5,6,11,26,27,8,61,72
SOUTH,0,0,2,4,6,14,38,7,59,65
SOUTH,0,0,5,6,11,11,22,9,42,53
SOUTH,0,0,9,8,17,16,15,8,39,56
SOUTH,0,0,8,8,16,14,24,3,41,57
SOUTH,0,2,31,48,81,109,253,70,432,513
SOUTH,0,1,1,5,7,4,35,6,45,52
SOUTH,0,0,0,6,6,5,39,3,47,53
SOUTH,0,0,0,3,3,4,19,9,32,35
SOUTH,0,0,6,6,12,12,36,2,50,62
SOUTH,0,1,5,4,10,23,25,11,59,69
SOUTH,0,0,1,5,6,11,26,8,45,51
SOUTH,0,0,6,6,12,18,25,7,50,62
SOUTH,0,0,8,3,11,21,23,10,54,65
SOUTH,0,0,4,10,14,11,25,14,50,64
SOUTH,1,1,29,44,75,107,290,78,475,550
SOUTH,0,0,3,3,6,4,23,12,39,45
SOUTH,0,0,3,1,4,3,36,1,40,44
SOUTH,0,0,2,1,3,8,19,5,32,35
SOUTH,0,0,3,6,9,14,55,5,74,83
SOUTH,0,0,0,7,7,21,39,19,79,86
SOUTH,0,0,2,5,7,12,34,6,52,59
SOUTH,0,0,5,5,10,11,24,12,47,57
SOUTH,1,1,7,7,16,16,29,10,55,71
SOUTH,0,0,4,9,13,18,31,8,57,70
SOUTH,0,1,28,35,64,108,274,80,462,526
SOUTH,0,0,2,3,5,11,27,12,50,55
SOUTH,0,0,0,3,3,6,30,6,42,45
SOUTH,0,0,1,3,4,19,13,4,36,40
SOUTH,0,0,4,2,6,15,47,14,76,82
SOUTH,0,0,6,6,12,11,28,16,55,67
SOUTH,0,0,2,6,8,8,32,4,44,52
SOUTH,0,1,4,4,9,10,29,7,46,55
SOUTH,0,0,4,3,7,15,29,11,55,62
SOUTH,0,0,5,5,10,13,39,6,58,68
SOUTH,0,3,35,35,73,102,246,46,394,467
SOUTH,0,0,3,3,6,10,26,4,40,46
SOUTH,0,0,2,2,4,5,26,1,32,36
SOUTH,0,1,0,8,9,5,15,4,24,33
SOUTH,0,0,3,4,7,8,52,4,64,71
SOUTH,0,0,3,5,8,15,29,8,52,60
SOUTH,0,0,1,5,6,12,36,3,51,57
SOUTH,0,1,9,1,11,17,20,10,47,58
SOUTH,0,0,8,5,13,25,25,10,60,73
SOUTH,0,1,6,2,9,5,17,2,24,33
SOUTH,0,1,24,57,82,125,233,63,421,503
SOUTH,0,1,3,3,7,8,24,13,45,52
SOUTH,0,0,3,6,9,8,35,6,49,58
SOUTH,0,0,2,2,4,9,18,3,30,34
SOUTH,0,0,3,6,9,12,36,5,53,62
SOUTH,0,0,3,1,4,9,20,8,37,41
SOUTH,0,0,3,12,15,26,44,4,74,89
SOUTH,0,0,1,10,11,14,22,8,44,55
SOUTH,0,0,3,11,14,22,13,10,45,59
SOUTH,0,0,3,6,9,17,21,6,44,53
SOUTH,2,2,17,35,56,109,273,77,459,515
SOUTH,0,0,0,5,5,11,26,22,59,64
SOUTH,0,0,4,6,10,6,33,4,43,53
SOUTH,0,0,3,3,6,8,21,8,37,43
SOUTH,0,1,1,6,8,10,46,8,64,72
SOUTH,0,0,1,2,3,12,35,8,55,58
SOUTH,0,0,1,2,3,19,39,6,64,67
SOUTH,0,1,3,4,8,9,23,8,40,48
SOUTH,0,0,4,6,10,25,29,8,62,72
SOUTH,2,0,0,1,3,9,21,5,35,38
SOUTH,0,2,21,21,44,111,270,79,460,504
SOUTH,0,0,1,3,4,15,38,11,64,68
SOUTH,0,0,1,1,2,8,43,2,53,55
SOUTH,0,1,0,1,2,5,16,5,26,28
SOUTH,0,0,2,1,3,11,43,10,64,67
SOUTH,0,1,4,3,8,20,24,6,50,58
SOUTH,0,0,5,8,13,23,33,18,74,87
SOUTH,0,0,4,3,7,5,24,10,39,46
SOUTH,0,0,1,1,2,15,29,14,58,60
SOUTH,0,0,3,0,3,9,20,3,32,35
SOUTH,2,3,21,28,54,84,266,74,424,478
SOUTH,0,0,2,0,2,8,37,10,55,57
SOUTH,0,1,2,0,3,11,53,3,67,70
SOUTH,1,1,2,2,6,8,20,7,35,41
SOUTH,0,0,1,8,9,10,40,9,59,68
SOUTH,0,1,2,1,4,15,20,6,41,45
SOUTH,0,0,1,3,4,12,28,5,45,49
SOUTH,0,0,5,3,8,6,28,11,45,53
SOUTH,1,0,4,8,13,6,19,16,41,54
SOUTH,0,0,2,3,5,8,21,7,36,41
SW,0,1,6,20,27,53,148,52,253,273
SW,0,0,0,4,4,8,13,7,28,32
SW,0,1,0,4,5,11,33,7,51,55
SW,0,0,3,6,9,6,28,14,48,54
SW,0,0,0,1,1,11,25,7,43,44
SW,0,0,2,2,4,9,22,8,39,41
SW,0,0,1,3,4,8,27,9,44,47
SW,0,2,6,16,24,49,104,28,181,205
SW,0,0,1,3,4,3,8,7,18,22
SW,0,1,4,6,11,8,37,5,50,61
SW,0,0,1,3,4,10,21,6,37,41
SW,0,0,0,0,0,8,14,4,26,26
SW,0,1,0,3,4,5,11,3,19,23
SW,0,0,0,1,1,15,13,3,31,32
SW,0,1,11,17,29,42,121,38,201,230
